INDX,wave,group,id,keep,obs_filter,dir_const,travel,Block Group,duration,speed,driveduration,stopduration,Telephone,Texting,Smoking,Belt,Pass,Agman,Agpassenger,Agother,total,begin_time1,end_time1,begin_time2,end_time2,begin_time3,end_time3,begin_time4,end_time4,begin_time5,end_time5,begin_time6,end_time6,begin_time7,end_time7,begin_time8,end_time8,begin_time9,end_time9,begin_time10,end_time10,begin_time11,end_time11,begin_time12,end_time12,arrival_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,r1,r2,interviewer,startpoint,endpoint,starttime,endtime,travelcode,distance,direction
22,1st wave - Anonimous,1st wave - Control,22,1,Keep,Same direction or one trip only,Samtredia-Tbilisi,Samtredia,252,68.05555725,216,36,11,0,7,0,7,1,0,0,26,9/21/2016 13:54,9/21/2016 14:24,9/21/2016 14:24,9/21/2016 14:54,9/21/2016 14:54,9/21/2016 15:24,9/21/2016 15:24,9/21/2016 15:54,9/21/2016 15:54,9/21/2016 16:24,9/21/2016 16:24,9/21/2016 16:54,9/21/2016 16:54,9/21/2016 17:24,9/21/2016 17:24,9/21/2016 17:54,9/21/2016 17:54,9/21/2016 18:06,,,,,,,9/21/2016 18:06,1,-1,0,1,0,1,0,1,0,4,4,1839,Samtredia,Tbilisi,9/21/2016 13:54,9/21/2016 18:06,TBS-Samtredia / Samtredia--TBS,245,To Tbilisi
23,1st wave - Anonimous,1st wave - Control,23,1,Keep,Same direction or one trip only,Ksani-Tbilisi,Ksani,32,50,30,2,1,0,0,0,1,0,0,0,2,9/20/2016 15:08,9/20/2016 15:38,9/20/2016 15:38,9/20/2016 15:40,,,,,,,,,,,,,,,,,,,,,9/20/2016 15:40,1,1,0,0,0,1,0,1,0,4,4,1819,Ksani,Tbilisi,9/20/2016 15:08,9/20/2016 15:40,TBS-Ksani / Ksani--TBS,25,To Tbilisi
24,2nd wave - Non-anonimous,2nd wave - Treatment,24,1,Keep,Same direction or one trip only,Akhaltsikhe-Tbilisi,Akhaltsikhe,142,84.17266083,139,3,2,1,0,0,13,8,0,0,24,9/27/2016 14:55,9/27/2016 15:25,9/27/2016 15:25,9/27/2016 15:55,9/27/2016 15:55,9/27/2016 16:25,9/27/2016 16:25,9/27/2016 16:55,9/27/2016 16:55,9/27/2016 17:17,,,,,,,,,,,,,,,9/27/2016 17:17,0,1,0,0,1,1,0,1,0,4,4,1836,Akhaltsikhe,Tbilisi,9/27/2016 14:55,9/27/2016 17:17,TBS-Akhaltsikhe / Akhaltsikhe--TBS,195,To Tbilisi
25,1st wave - Anonimous,1st wave - Control,25,0,Drop,Observation filtered out,Chargali-Tbilisi,Zhinvali,102,44.24242401,99,3,2,1,2,2,0,2,0,0,9,9/20/2016 13:34,9/20/2016 14:03,9/20/2016 14:03,9/20/2016 14:33,9/20/2016 14:33,9/20/2016 15:03,9/20/2016 15:03,9/20/2016 15:16,,,,,,,,,,,,,,,,,9/20/2016 15:16,1,1,0,0,0,0,0,1,0,4,4,1818,Chargali,Tbilisi,9/20/2016 13:34,9/20/2016 15:16,TBS-Chargali / Chargali--TBS,73,To Tbilisi
26,3rd wave - Anonimous,3rd wave - Former treatment,26,1,Keep,Different directions,Tbilisi-Gori,Gori,45,93.33333588,45,0,0,0,0,0,0,2,0,0,2,10/11/2016 11:13,10/11/2016 11:42,10/11/2016 11:42,10/11/2016 11:58,,,,,,,,,,,,,,,,,,,,,10/11/2016 11:59,1,1,0,0,0,1,0,1,0,4,4,1851,Tbilisi,Gori,10/11/2016 11:13,10/11/2016 11:58,TBS-Gori / Gori--TBS,70,From Tbilisi
27,3rd wave - Anonimous,3rd wave - New or former control,27,1,Keep,Different directions,Tbilisi-Telavi,Telavi,133,34.2857132,133,0,7,0,4,0,3,1,0,0,15,10/11/2016 12:34,10/11/2016 13:04,10/11/2016 13:04,10/11/2016 13:34,10/11/2016 13:34,10/11/2016 14:04,10/11/2016 14:05,10/11/2016 14:34,10/11/2016 14:34,10/11/2016 14:47,,,,,,,,,,,,,,,10/11/2016 14:47,1,1,0,0,0,1,0,1,0,3,4,1832,Tbilisi,Telavi,10/11/2016 12:34,10/11/2016 14:47,TBS-Telavi / Telavi--TBS,76,From Tbilisi
28,3rd wave - Anonimous,3rd wave - Former treatment,28,0,Drop,Observation filtered out,Tbilisi-Bakuriani,Bakuriani,139,78.89763641,127,12,4,1,3,0,27,0,0,0,35,10/12/2016 11:07,10/12/2016 11:37,10/12/2016 11:37,10/12/2016 12:07,10/12/2016 12:07,10/12/2016 12:37,10/12/2016 12:37,10/12/2016 13:07,10/12/2016 13:07,10/12/2016 13:26,,,,,,,,,,,,,,,10/12/2016 13:26,0,0,0,1,1,1,0,1,0,4,3,1836,Tbilisi,Bakuriani,10/12/2016 11:07,10/12/2016 13:26,TBS-Bakuriani / Bakuriani--TBS,167,From Tbilisi
29,2nd wave - Non-anonimous,2nd wave - Treatment,29,1,Keep,Same direction or one trip only,Tbilisi-Tsilkani,Saguramo,31,50.32258224,31,0,0,0,0,0,0,0,0,0,0,9/29/2016 8:45,9/29/2016 9:16,,,,,,,,,,,,,,,,,,,,,,,9/29/2016 9:16,1,0,0,0,0,1,0,0,0,3,3,1851,Tbilisi,Tsilkani,9/29/2016 8:45,9/29/2016 9:16,TBS-Tsilkani / Tsilkani--TBS,26,From Tbilisi
30,1st wave - Anonimous,1st wave - Control,30,1,Keep,Same direction or one trip only,Tbilisi-Borjomi,Borjomi,113,80.74766541,107,6,2,0,0,4,1,6,0,0,13,9/21/2016 10:05,9/21/2016 10:35,9/21/2016 10:35,9/21/2016 11:05,9/21/2016 11:05,9/21/2016 11:35,9/21/2016 11:35,9/21/2016 11:58,,,,,,,,,,,,,,,,,9/21/2016 11:58,1,0,-2,1,0,1,0,1,0,4,4,1842,Tbilisi,Borjomi,9/21/2016 10:05,9/21/2016 11:58,TBS-Borjomi / Borjomi--TBS,144,From Tbilisi
31,3rd wave - Anonimous,3rd wave - New or former control,31,1,Keep,Same direction or one trip only,Gori-Tbilisi,Gori,63,66.66666412,63,0,1,0,0,3,0,0,0,0,4,10/11/2016 13:38,10/11/2016 14:08,10/11/2016 14:08,10/11/2016 14:38,10/11/2016 14:38,10/11/2016 14:41,,,,,,,,,,,,,,,,,,,10/11/2016 14:41,1,1,0,0,1,1,0,1,0,4,4,1805,Gori,Tbilisi,10/11/2016 13:38,10/11/2016 14:41,TBS-Gori / Gori--TBS,70,To Tbilisi
