INDX,wave,group,id,keep,obs_filter,dir_const,travel,Block Group,duration,speed,driveduration,stopduration,Telephone,Texting,Smoking,Belt,Pass,Agman,Agpassenger,Agother,total,begin_time1,end_time1,begin_time2,end_time2,begin_time3,end_time3,begin_time4,end_time4,begin_time5,end_time5,begin_time6,end_time6,begin_time7,end_time7,begin_time8,end_time8,begin_time9,end_time9,begin_time10,end_time10,begin_time11,end_time11,begin_time12,end_time12,arrival_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,r1,r2,interviewer,startpoint,endpoint,starttime,endtime,travelcode,distance,direction
87,1st wave - Anonimous,1st wave - Control,87,1,Keep,Same direction or one trip only,Terjola-Tbilisi,Zestaponi,159,75.19480896,154,5,4,0,4,0,9,1,0,0,18,9/21/2016 15:22,9/21/2016 15:52,9/21/2016 15:52,9/21/2016 16:22,9/21/2016 16:22,9/21/2016 16:30,9/21/2016 16:52,9/21/2016 17:25,9/21/2016 17:25,9/21/2016 17:52,9/21/2016 17:52,9/21/2016 18:01,,,,,,,,,,,,,9/21/2016 18:02,1,0,0,0,0,1,0,1,0,5,5,1835,Terjola,Tbilisi,9/21/2016 15:22,9/21/2016 18:01,TBS-Terjola / Terjola--TBS,193,To Tbilisi
88,3rd wave - Anonimous,3rd wave - New or former control,88,1,Keep,Same direction or one trip only,Ksani-Tbilisi,Ksani,31,48.38709641,31,0,0,0,0,1,2,0,0,0,3,10/13/2016 13:05,10/13/2016 13:36,,,,,,,,,,,,,,,,,,,,,,,10/13/2016 13:53,1,1,0,0,0,1,0,1,0,5,5,1841,Ksani,Tbilisi,10/13/2016 13:05,10/13/2016 13:36,TBS-Ksani / Ksani--TBS,25,To Tbilisi
89,3rd wave - Anonimous,3rd wave - New or former control,89,1,Keep,Same direction or one trip only,Kaspi-Tbilisi,Kaspi,39,72.30769348,39,0,0,0,0,0,0,0,0,0,0,10/12/2016 13:00,10/12/2016 13:30,10/12/2016 13:30,10/12/2016 13:39,,,,,,,,,,,,,,,,,,,,,10/12/2016 13:52,1,-1,1,0,1,1,0,1,0,3,3,1810,Kaspi,Tbilisi,10/12/2016 13:00,10/12/2016 13:39,TBS-Kaspi / Kaspi--TBS,47,To Tbilisi
90,1st wave - Anonimous,1st wave - Control,90,1,Keep,Same direction or one trip only,Tbilisi-Mukhrani,Ksani,30,64.80000305,25,5,0,0,0,0,2,2,0,1,5,9/20/2016 13:10,9/20/2016 13:40,,,,,,,,,,,,,,,,,,,,,,,9/20/2016 13:40,1,1,0,0,0,1,0,1,0,4,3,1841,Tbilisi,Mukhrani,9/20/2016 13:10,9/20/2016 13:40,TBS-Mukhrani / Mukhrani--TBS,27,From Tbilisi
91,3rd wave - Anonimous,3rd wave - Former treatment,7,1,Keep,Same direction or one trip only,Tbilisi-Terjola,Zestaponi,150,82.7142868,140,10,4,0,0,0,2,0,0,0,6,10/12/2016 10:16,10/12/2016 10:46,10/12/2016 10:46,10/12/2016 11:16,10/12/2016 11:16,10/12/2016 11:46,10/12/2016 11:46,10/12/2016 12:16,10/12/2016 12:16,10/12/2016 12:46,,,,,,,,,,,,,,,10/12/2016 12:46,0,1,0,0,0,1,0,1,0,4,4,1832,Tbilisi,Terjola,10/12/2016 10:16,10/12/2016 12:46,TBS-Terjola / Terjola--TBS,193,From Tbilisi
92,1st wave - Anonimous,1st wave - Control,42,1,Keep,Same direction or one trip only,Telavi-Tbilisi,Telavi,135,34.2857132,133,2,3,0,0,2,14,3,0,0,22,9/20/2016 17:00,9/20/2016 17:30,9/20/2016 17:30,9/20/2016 18:00,9/20/2016 18:00,9/20/2016 18:30,9/20/2016 18:30,9/20/2016 19:00,9/20/2016 19:00,9/20/2016 19:15,,,,,,,,,,,,,,,9/20/2016 19:15,1,0,0,0,1,-2,0,1,0,4,3,1805,Telavi,Tbilisi,9/20/2016 17:00,9/20/2016 19:15,TBS-Telavi / Telavi--TBS,76,To Tbilisi
93,3rd wave - Anonimous,3rd wave - New or former control,93,1,Keep,Same direction or one trip only,Gurjaani-Tbilisi,Gurjaani,90,62.66666794,90,0,0,0,1,0,0,0,0,0,1,10/11/2016 11:26,10/11/2016 11:56,10/11/2016 11:56,10/11/2016 12:26,10/11/2016 12:26,10/11/2016 12:56,,,,,,,,,,,,,,,,,,,10/11/2016 13:14,1,0,0,0,0,1,0,1,0,4,4,1810,Gurjaani,Tbilisi,10/11/2016 11:26,10/11/2016 12:56,TBS-Gurjaani / Gurjaani--TBS,94,To Tbilisi
94,3rd wave - Anonimous,3rd wave - New or former control,94,1,Keep,Same direction or one trip only,Tbilisi-Chkoni,Martvili,256,70.61946869,226,30,4,0,0,0,16,1,0,0,21,10/18/2016 9:30,10/18/2016 10:00,10/18/2016 10:00,10/18/2016 10:30,10/18/2016 10:30,10/18/2016 11:00,10/18/2016 11:00,10/18/2016 11:30,10/18/2016 11:30,10/18/2016 12:00,10/18/2016 12:00,10/18/2016 12:30,10/18/2016 12:30,10/18/2016 13:00,10/18/2016 13:00,10/18/2016 13:30,10/18/2016 13:30,10/18/2016 13:46,,,,,,,10/18/2016 13:46,1,1,0,1,1,1,0,1,0,5,5,1837,Tbilisi,Chkoni,10/18/2016 9:30,10/18/2016 13:46,TBS-Chkoni / Chkoni--TBS,266,From Tbilisi
95,3rd wave - Anonimous,3rd wave - New or former control,15,1,Keep,Same direction or one trip only,Tbilisi-Telavi,Telavi,124,40.35398102,113,11,3,0,0,0,41,0,0,0,44,10/20/2016 11:51,10/20/2016 12:21,10/20/2016 12:21,10/20/2016 12:51,10/20/2016 12:51,10/20/2016 13:11,10/20/2016 13:11,10/20/2016 13:21,10/20/2016 13:21,10/20/2016 13:51,10/20/2016 13:51,10/20/2016 13:55,,,,,,,,,,,,,10/20/2016 13:55,0,0,0,0,0,1,0,1,1,4,3,1836,Tbilisi,Telavi,10/20/2016 11:51,10/20/2016 13:55,TBS-Telavi / Telavi--TBS,76,From Tbilisi
96,3rd wave - Anonimous,3rd wave - Former treatment,96,1,Keep,Different directions,Tbilisi-Khashuri,Khashuri,82,83.4146347,82,0,1,0,1,0,1,0,0,0,3,10/18/2016 15:18,10/18/2016 15:48,10/18/2016 15:48,10/18/2016 16:18,10/18/2016 16:18,10/18/2016 16:40,,,,,,,,,,,,,,,,,,,10/18/2016 16:41,1,1,0,0,0,1,0,1,0,4,4,1832,Tbilisi,Khashuri,10/18/2016 15:18,10/18/2016 16:40,TBS-Khashuri / Khashuri--TBS,114,From Tbilisi
97,3rd wave - Anonimous,3rd wave - Former treatment,24,1,Keep,Same direction or one trip only,Akhaltsikhe-Tbilisi,Akhaltsikhe,157,80.13698578,146,11,3,0,0,0,15,25,0,0,43,10/12/2016 15:10,10/12/2016 15:40,10/12/2016 15:40,10/12/2016 16:10,10/12/2016 16:10,10/12/2016 16:40,10/12/2016 16:40,10/12/2016 17:10,10/12/2016 17:10,10/12/2016 17:40,10/12/2016 17:40,10/12/2016 17:47,,,,,,,,,,,,,10/12/2016 18:03,0,0,0,0,0,0,0,0,1,1,1,1838,Akhaltsikhe,Tbilisi,10/12/2016 15:10,10/12/2016 17:47,TBS-Akhaltsikhe / Akhaltsikhe--TBS,195,To Tbilisi
98,2nd wave - Non-anonimous,2nd wave - Treatment,98,1,Keep,Same direction or one trip only,Pasanauri-Tbilisi,Zhinvali,57,76.36363983,55,2,0,0,0,0,2,0,0,0,2,9/28/2016 15:15,9/28/2016 15:46,9/28/2016 15:46,9/28/2016 16:12,,,,,,,,,,,,,,,,,,,,,9/28/2016 16:12,1,0,0,0,0,1,0,1,0,5,5,1836,Pasanauri,Tbilisi,9/28/2016 15:15,9/28/2016 16:12,TBS-Pasanauri / Pasanauri--TBS,70,To Tbilisi
99,3rd wave - Anonimous,3rd wave - New or former control,99,1,Keep,Same direction or one trip only,Tbilisi-Gori,Gori,56,82.35294342,51,5,1,0,0,0,0,0,0,0,1,10/11/2016 8:11,10/11/2016 8:42,10/11/2016 8:42,10/11/2016 9:07,,,,,,,,,,,,,,,,,,,,,10/11/2016 9:08,1,1,0,0,0,1,0,1,0,5,5,1842,Tbilisi,Gori,10/11/2016 8:11,10/11/2016 9:07,TBS-Gori / Gori--TBS,70,From Tbilisi
100,3rd wave - Anonimous,3rd wave - New or former control,100,1,Keep,Same direction or one trip only,Samtredia-Tbilisi,Samtredia,254,63.91304398,230,24,8,1,0,0,8,1,0,0,18,10/13/2016 16:15,10/13/2016 16:45,10/13/2016 16:45,10/13/2016 17:15,10/13/2016 17:15,10/13/2016 17:45,10/13/2016 17:45,10/13/2016 18:15,10/13/2016 18:15,10/13/2016 18:45,10/13/2016 18:45,10/13/2016 19:15,10/13/2016 19:15,10/13/2016 19:45,10/13/2016 19:45,10/13/2016 20:15,10/13/2016 20:15,10/13/2016 20:29,,,,,,,10/13/2016 20:29,1,-1,0,0,0,1,0,1,0,3,4,1834,Samtredia,Tbilisi,10/13/2016 16:15,10/13/2016 20:29,TBS-Samtredia / Samtredia--TBS,245,To Tbilisi
101,2nd wave - Non-anonimous,2nd wave - Treatment,101,1,Keep,Same direction or one trip only,Samtredia-Tbilisi,Samtredia,253,70.67308044,208,45,9,0,4,0,4,18,3,2,40,9/27/2016 13:19,9/27/2016 13:50,9/27/2016 13:50,9/27/2016 14:20,9/27/2016 14:20,9/27/2016 14:50,9/27/2016 14:50,9/27/2016 15:17,9/27/2016 15:20,9/27/2016 15:50,9/27/2016 15:50,9/27/2016 16:22,9/27/2016 16:22,9/27/2016 16:50,9/27/2016 16:50,9/27/2016 17:20,9/27/2016 17:20,9/27/2016 17:32,,,,,,,9/27/2016 17:32,1,1,0,1,1,0,0,0,0,1,1,1851,Samtredia,Tbilisi,9/27/2016 13:19,9/27/2016 17:32,TBS-Samtredia / Samtredia--TBS,245,To Tbilisi
102,2nd wave - Non-anonimous,2nd wave - Treatment,102,1,Keep,Same direction or one trip only,Lagodekhi-Tbilisi,Lagodekhi,79,105.5696182,79,0,1,0,0,0,0,0,0,0,1,9/29/2016 13:05,9/29/2016 13:35,9/29/2016 13:35,9/29/2016 14:05,9/29/2016 14:05,9/29/2016 14:24,,,,,,,,,,,,,,,,,,,9/29/2016 14:24,1,1,0,-1,-1,1,0,1,0,5,5,1839,Lagodekhi,Tbilisi,9/29/2016 13:05,9/29/2016 14:24,TBS-Lagodekhi / Lagodekhi--TBS,139,To Tbilisi
103,3rd wave - Anonimous,3rd wave - New or former control,103,1,Keep,Same direction or one trip only,Tbilisi-Ozurgeti,Samtredia,268,72.5806427,248,20,7,0,1,0,16,0,0,0,24,10/13/2016 12:00,10/13/2016 12:30,10/13/2016 12:30,10/13/2016 13:00,10/13/2016 13:00,10/13/2016 13:30,10/13/2016 13:30,10/13/2016 14:00,10/13/2016 14:00,10/13/2016 14:30,10/13/2016 14:30,10/13/2016 15:00,10/13/2016 15:00,10/13/2016 15:30,10/13/2016 15:30,10/13/2016 16:00,10/13/2016 16:00,10/13/2016 16:28,,,,,,,10/13/2016 16:28,1,1,0,0,0,1,0,1,0,4,5,1837,Tbilisi,Ozurgeti,10/13/2016 12:00,10/13/2016 16:28,TBS-Ozurgeti / Ozurgeti--TBS,300,From Tbilisi
104,3rd wave - Anonimous,3rd wave - New or former control,3,1,Keep,Different directions,Dzegvi-Tbilisi,Mtskheta,26,36.92307663,26,0,0,0,0,1,0,0,0,0,1,10/19/2016 10:56,10/19/2016 11:22,,,,,,,,,,,,,,,,,,,,,,,10/19/2016 11:22,1,1,0,0,0,1,0,1,0,5,5,1834,Dzegvi,Tbilisi,10/19/2016 10:56,10/19/2016 11:22,TBS-Dzegvi / Dzegvi--TBS,16,To Tbilisi
105,1st wave - Anonimous,1st wave - Control,105,1,Keep,Same direction or one trip only,Tbilisi-Odzisi,Ksani,41,60,41,0,2,0,0,2,3,3,0,0,10,9/20/2016 11:29,9/20/2016 12:01,9/20/2016 12:01,9/20/2016 12:10,,,,,,,,,,,,,,,,,,,,,9/20/2016 12:10,0,0,0,1,1,0,1,0,0,2,1,1851,Tbilisi,Odzisi,9/20/2016 11:29,9/20/2016 12:10,TBS-Odzisi / Odzisi--TBS,41,From Tbilisi
106,1st wave - Anonimous,1st wave - Control,25,1,Keep,Same direction or one trip only,Tbilisi-Chargali,Zhinvali,109,48.13186646,91,18,0,0,3,2,1,1,0,0,7,9/20/2016 11:20,9/20/2016 11:50,9/20/2016 11:50,9/20/2016 12:20,9/20/2016 12:20,9/20/2016 12:50,9/20/2016 12:50,9/20/2016 13:09,,,,,,,,,,,,,,,,,9/20/2016 13:09,1,1,0,1,0,1,0,1,0,5,5,1818,Tbilisi,Chargali,9/20/2016 11:20,9/20/2016 13:09,TBS-Chargali / Chargali--TBS,73,From Tbilisi
108,2nd wave - Non-anonimous,2nd wave - Treatment,28,1,Keep,Same direction or one trip only,Bakuriani-Tbilisi,Bakuriani,155,77.07691956,130,25,4,0,0,0,3,0,0,0,7,9/27/2016 16:58,9/27/2016 17:28,9/27/2016 17:28,9/27/2016 17:58,9/27/2016 17:58,9/27/2016 18:28,9/27/2016 18:28,9/27/2016 18:58,9/27/2016 18:58,9/27/2016 19:28,9/27/2016 19:28,9/27/2016 19:33,,,,,,,,,,,,,9/27/2016 19:33,0,-1,0,0,0,1,0,1,0,4,4,1832,Bakuriani,Tbilisi,9/27/2016 16:58,9/27/2016 19:33,TBS-Bakuriani / Bakuriani--TBS,167,To Tbilisi
109,1st wave - Anonimous,1st wave - Control,109,1,Keep,Same direction or one trip only,Lagodekhi-Tbilisi,Lagodekhi,136,61.32352829,136,0,4,0,0,0,13,12,0,0,29,9/21/2016 13:55,9/21/2016 14:25,9/21/2016 14:25,9/21/2016 14:56,9/21/2016 14:56,9/21/2016 15:25,9/21/2016 15:25,9/21/2016 15:55,9/21/2016 15:55,9/21/2016 16:11,,,,,,,,,,,,,,,9/21/2016 16:11,1,1,0,0,0,1,0,1,0,5,5,1849,Lagodekhi,Tbilisi,9/21/2016 13:55,9/21/2016 16:11,TBS-Lagodekhi / Lagodekhi--TBS,139,To Tbilisi
110,1st wave - Anonimous,1st wave - Control,110,1,Keep,Same direction or one trip only,Tbilisi-Adigeni,Akhaltsikhe,202,65.72864532,199,3,0,0,6,0,15,3,0,0,24,9/21/2016 8:55,9/21/2016 9:25,9/21/2016 9:25,9/21/2016 9:55,9/21/2016 9:55,9/21/2016 10:25,9/21/2016 10:25,9/21/2016 10:55,9/21/2016 10:55,9/21/2016 11:25,9/21/2016 11:25,9/21/2016 11:55,9/21/2016 11:55,9/21/2016 12:17,,,,,,,,,,,9/21/2016 12:18,0,0,0,0,0,0,0,1,0,3,2,1838,Tbilisi,Adigeni,9/21/2016 8:55,9/21/2016 12:17,TBS-Adigeni / Adigeni--TBS,218,From Tbilisi
111,1st wave - Anonimous,1st wave - Control,111,1,Keep,Same direction or one trip only,Tbilisi-Akhalubani,Ksani,33,51.42856979,28,5,0,0,0,0,2,2,0,0,4,9/20/2016 12:12,9/20/2016 12:42,9/20/2016 12:42,9/20/2016 12:45,,,,,,,,,,,,,,,,,,,,,9/20/2016 12:45,1,1,0,0,0,1,0,1,0,3,3,1838,Tbilisi,Akhalubani,9/20/2016 12:12,9/20/2016 12:45,TBS-Akhalubani / Akhalubani--TBS,24,From Tbilisi
112,1st wave - Anonimous,1st wave - Control,112,1,Keep,Same direction or one trip only,Tbilisi-Samtredia,Samtredia,194,85.46511841,172,22,4,0,7,0,7,0,0,0,18,9/21/2016 9:43,9/21/2016 10:14,9/21/2016 10:14,9/21/2016 10:44,9/21/2016 10:44,9/21/2016 11:14,9/21/2016 11:14,9/21/2016 11:44,9/21/2016 11:44,9/21/2016 12:14,9/21/2016 12:14,9/21/2016 12:44,9/21/2016 12:44,9/21/2016 12:57,,,,,,,,,,,9/21/2016 13:06,1,1,0,1,0,1,0,1,0,4,4,1839,Tbilisi,Samtredia,9/21/2016 9:43,9/21/2016 12:57,TBS-Samtredia / Samtredia--TBS,245,From Tbilisi
113,2nd wave - Non-anonimous,2nd wave - Treatment,40,1,Keep,Same direction or one trip only,Kutaisi-Tbilisi,Kutaisi,210,66.21761322,193,17,2,0,0,0,1,4,0,0,7,9/27/2016 16:55,9/27/2016 17:26,9/27/2016 17:26,9/27/2016 17:55,9/27/2016 17:55,9/27/2016 18:25,9/27/2016 18:25,9/27/2016 18:55,9/27/2016 18:55,9/27/2016 19:25,9/27/2016 19:25,9/27/2016 19:55,9/27/2016 19:55,9/27/2016 20:25,,,,,,,,,,,9/27/2016 20:26,1,1,0,0,0,1,0,1,0,5,5,1818,Kutaisi,Tbilisi,9/27/2016 16:55,9/27/2016 20:25,TBS-Kutaisi / Kutaisi--TBS,213,To Tbilisi
114,3rd wave - Anonimous,3rd wave - New or former control,114,1,Keep,Same direction or one trip only,Tbilisi-Gori,Gori,51,82.35294342,51,0,0,0,0,0,0,0,0,0,0,10/13/2016 10:03,10/13/2016 10:33,10/13/2016 10:33,10/13/2016 10:54,,,,,,,,,,,,,,,,,,,,,10/13/2016 10:54,1,0,0,0,1,1,0,1,0,4,4,1810,Tbilisi,Gori,10/13/2016 10:03,10/13/2016 10:54,TBS-Gori / Gori--TBS,70,From Tbilisi
115,2nd wave - Non-anonimous,2nd wave - Treatment,115,1,Keep,Same direction or one trip only,Gori-Tbilisi,Gori,49,85.7142868,49,0,0,0,0,0,0,0,0,0,0,9/28/2016 13:27,9/28/2016 13:57,9/28/2016 13:57,9/28/2016 14:16,,,,,,,,,,,,,,,,,,,,,9/28/2016 14:16,1,-1,0,0,1,1,0,1,0,5,5,1828,Gori,Tbilisi,9/28/2016 13:27,9/28/2016 14:16,TBS-Gori / Gori--TBS,70,To Tbilisi
116,3rd wave - Anonimous,3rd wave - New or former control,116,1,Keep,Same direction or one trip only,Tbilisi-Chiatura,Sachkhere,153,77.27272797,132,21,2,0,0,5,8,10,1,0,26,10/18/2016 11:45,10/18/2016 12:15,10/18/2016 12:15,10/18/2016 12:45,10/18/2016 12:45,10/18/2016 13:15,10/18/2016 13:15,10/18/2016 13:45,10/18/2016 13:45,10/18/2016 14:18,,,,,,,,,,,,,,,10/18/2016 14:18,1,1,0,1,0,1,0,1,0,3,3,1824,Tbilisi,Chiatura,10/18/2016 11:45,10/18/2016 14:18,TBS-Chiatura / Chiatura--TBS,170,From Tbilisi
117,3rd wave - Anonimous,3rd wave - New or former control,111,1,Keep,Same direction or one trip only,Tbilisi-Akhalubani,Ksani,34,42.35293961,34,0,0,0,0,0,0,0,0,0,0,10/18/2016 12:12,10/18/2016 12:30,10/18/2016 12:30,10/18/2016 12:46,,,,,,,,,,,,,,,,,,,,,10/18/2016 12:46,1,1,0,1,1,1,0,1,0,4,4,1851,Tbilisi,Akhalubani,10/18/2016 12:12,10/18/2016 12:46,TBS-Akhalubani / Akhalubani--TBS,24,From Tbilisi
118,2nd wave - Non-anonimous,2nd wave - Treatment,118,1,Keep,Same direction or one trip only,Tbilisi-Khashuri,Khashuri,75,93.69863129,73,2,0,0,0,0,0,0,0,0,0,9/28/2016 10:20,9/28/2016 10:50,9/28/2016 10:50,9/28/2016 11:20,9/28/2016 11:20,9/28/2016 11:35,,,,,,,,,,,,,,,,,,,9/28/2016 11:35,0,1,0,0,0,1,0,1,0,4,4,1819,Tbilisi,Khashuri,9/28/2016 10:20,9/28/2016 11:35,TBS-Khashuri / Khashuri--TBS,114,From Tbilisi
119,1st wave - Anonimous,1st wave - Control,119,1,Keep,Same direction or one trip only,Tianeti-Tbilisi,Zhinvali,64,58.125,64,0,3,0,0,1,1,1,0,0,6,9/20/2016 12:08,9/20/2016 12:38,9/20/2016 12:38,9/20/2016 13:12,9/20/2016 13:12,9/20/2016 13:12,,,,,,,,,,,,,,,,,,,9/20/2016 13:13,1,1,0,0,0,1,0,1,0,4,4,1853,Tianeti,Tbilisi,9/20/2016 12:08,9/20/2016 13:12,TBS-Tianeti / Tianeti--TBS,62,To Tbilisi
120,2nd wave - Non-anonimous,2nd wave - Treatment,120,1,Keep,Same direction or one trip only,Tbilisi-Khovle,Metekhi,82,46.15384674,78,4,0,0,3,0,0,0,0,0,3,9/28/2016 13:49,9/28/2016 14:19,9/28/2016 14:19,9/28/2016 14:49,9/28/2016 14:49,9/28/2016 15:11,,,,,,,,,,,,,,,,,,,9/28/2016 15:11,1,1,1,0,1,1,0,1,0,5,5,1818,Tbilisi,Khovle,9/28/2016 13:49,9/28/2016 15:11,TBS-Khovle / Khovle--TBS,60,From Tbilisi
121,1st wave - Anonimous,1st wave - Control,121,1,Keep,Same direction or one trip only,Kareli-Tbilisi,Gori,48,112.5,48,0,3,0,0,0,5,0,0,0,8,9/20/2016 16:45,9/20/2016 17:15,9/20/2016 17:15,9/20/2016 17:33,,,,,,,,,,,,,,,,,,,,,9/20/2016 17:34,1,-1,0,1,0,1,0,1,0,5,5,1834,Kareli,Tbilisi,9/20/2016 16:45,9/20/2016 17:33,TBS-Kareli / Kareli--TBS,90,To Tbilisi
122,2nd wave - Non-anonimous,2nd wave - Treatment,122,1,Keep,Same direction or one trip only,Tbilisi-Alvani,Telavi,142,38.87323761,142,0,0,0,0,0,0,0,0,0,0,9/29/2016 9:42,9/29/2016 10:11,9/29/2016 10:12,9/29/2016 10:41,9/29/2016 10:42,9/29/2016 10:44,9/29/2016 11:11,9/29/2016 11:42,9/29/2016 11:42,9/29/2016 12:04,,,,,,,,,,,,,,,9/29/2016 12:04,1,1,0,0,0,1,0,1,0,5,5,1835,Tbilisi,Alvani,9/29/2016 9:42,9/29/2016 12:04,TBS-Alvani / Alvani--TBS,92,From Tbilisi
123,2nd wave - Non-anonimous,2nd wave - Treatment,25,1,Keep,Same direction or one trip only,Tbilisi-Chargali,Zhinvali,94,47.60869598,92,2,1,0,2,2,0,0,0,0,5,9/28/2016 11:20,9/28/2016 11:51,9/28/2016 11:51,9/28/2016 12:20,9/28/2016 12:20,9/28/2016 12:51,9/28/2016 12:52,9/28/2016 12:54,,,,,,,,,,,,,,,,,9/28/2016 12:55,0,0,0,0,0,1,0,1,0,5,5,1838,Tbilisi,Chargali,9/28/2016 11:20,9/28/2016 12:54,TBS-Chargali / Chargali--TBS,73,From Tbilisi
124,3rd wave - Anonimous,3rd wave - New or former control,10,1,Keep,Different directions,Tbilisi-Bakuriani,Bakuriani,171,69.58333588,144,27,3,1,3,0,10,4,0,0,21,10/19/2016 8:40,10/19/2016 9:10,10/19/2016 9:10,10/19/2016 9:40,10/19/2016 9:40,10/19/2016 10:10,10/19/2016 10:10,10/19/2016 10:40,10/19/2016 10:40,10/19/2016 11:10,10/19/2016 11:10,10/19/2016 11:31,,,,,,,,,,,,,10/19/2016 11:32,0,0,0,0,0,1,0,1,0,4,4,1819,Tbilisi,Bakuriani,10/19/2016 8:40,10/19/2016 11:31,TBS-Bakuriani / Bakuriani--TBS,167,From Tbilisi
125,3rd wave - Anonimous,3rd wave - Former treatment,125,1,Keep,Same direction or one trip only,Tbilisi-Chiatura,Sachkhere,140,72.85713959,140,0,4,0,0,0,1,3,0,0,8,10/13/2016 8:29,10/13/2016 9:00,10/13/2016 9:00,10/13/2016 9:31,10/13/2016 9:31,10/13/2016 9:59,10/13/2016 9:59,10/13/2016 10:30,10/13/2016 10:30,10/13/2016 10:49,,,,,,,,,,,,,,,10/13/2016 10:49,1,1,0,0,0,1,-2,1,0,3,3,1851,Tbilisi,Chiatura,10/13/2016 8:29,10/13/2016 10:49,TBS-Chiatura / Chiatura--TBS,170,From Tbilisi
126,3rd wave - Anonimous,3rd wave - Former treatment,126,1,Keep,Different directions,Gori-Tbilisi,Gori,57,73.68421173,57,0,4,0,0,0,3,2,0,0,9,10/18/2016 12:30,10/18/2016 13:00,10/18/2016 13:00,10/18/2016 13:27,,,,,,,,,,,,,,,,,,,,,10/18/2016 13:27,1,1,0,0,1,1,0,1,0,3,3,1853,Gori,Tbilisi,10/18/2016 12:30,10/18/2016 13:27,TBS-Gori / Gori--TBS,70,To Tbilisi
127,1st wave - Anonimous,1st wave - Control,53,1,Keep,Same direction or one trip only,Shrosha-Tbilisi,Zestaponi,116,84.31034851,116,0,2,0,4,0,8,14,0,0,28,9/20/2016 12:45,9/20/2016 13:15,9/20/2016 13:15,9/20/2016 13:18,9/20/2016 13:45,9/20/2016 14:15,9/20/2016 14:15,9/20/2016 14:41,,,,,,,,,,,,,,,,,9/20/2016 14:41,1,0,0,0,0,1,0,1,0,5,5,1849,Shrosha,Tbilisi,9/20/2016 12:45,9/20/2016 14:41,TBS-Shrosha / Shrosha--TBS,163,To Tbilisi
128,1st wave - Anonimous,1st wave - Control,128,1,Keep,Same direction or one trip only,Akhalubani-Tbilisi,Ksani,16,90,16,0,0,0,0,0,1,1,0,0,2,9/20/2016 13:56,9/20/2016 14:12,,,,,,,,,,,,,,,,,,,,,,,9/20/2016 14:12,1,1,0,0,0,1,0,1,0,3,3,1838,Akhalubani,Tbilisi,9/20/2016 13:56,9/20/2016 14:12,TBS-Akhalubani / Akhalubani--TBS,24,To Tbilisi
129,3rd wave - Anonimous,3rd wave - Former treatment,129,1,Keep,Same direction or one trip only,Tbilisi-Mtskheta,Mtskheta,25,27.27272797,22,3,1,0,0,0,0,0,0,0,1,10/11/2016 10:03,10/11/2016 10:28,,,,,,,,,,,,,,,,,,,,,,,10/11/2016 10:28,1,1,1,0,0,1,0,1,0,3,3,1853,Tbilisi,Mtskheta,10/11/2016 10:03,10/11/2016 10:28,TBS-Mtskheta / Mtskheta--TBS,10,From Tbilisi
130,2nd wave - Non-anonimous,2nd wave - Treatment,43,1,Keep,Same direction or one trip only,Tbilisi-Borjomi,Borjomi,107,82.2857132,105,2,1,0,1,0,1,2,0,0,5,9/27/2016 10:16,9/27/2016 10:46,9/27/2016 10:46,9/27/2016 11:16,9/27/2016 11:16,9/27/2016 11:46,9/27/2016 11:46,9/27/2016 12:03,,,,,,,,,,,,,,,,,9/27/2016 12:03,1,1,0,0,0,1,0,1,0,5,4,1824,Tbilisi,Borjomi,9/27/2016 10:16,9/27/2016 12:03,TBS-Borjomi / Borjomi--TBS,144,From Tbilisi
131,2nd wave - Non-anonimous,2nd wave - Treatment,131,1,Keep,Same direction or one trip only,Kaspi-Tbilisi,Kaspi,31,90.96774292,31,0,1,0,0,2,2,5,1,0,11,9/28/2016 16:03,9/28/2016 16:25,9/28/2016 16:25,9/28/2016 16:34,,,,,,,,,,,,,,,,,,,,,9/28/2016 16:34,1,1,0,1,1,0,0,1,0,1,2,1851,Kaspi,Tbilisi,9/28/2016 16:03,9/28/2016 16:34,TBS-Kaspi / Kaspi--TBS,47,To Tbilisi
132,3rd wave - Anonimous,3rd wave - New or former control,132,1,Keep,Same direction or one trip only,Tbilisi-Kutaisi,Kutaisi,202,66.5625,192,10,8,0,2,1,3,0,0,0,14,10/20/2016 10:30,10/20/2016 11:00,10/20/2016 11:00,10/20/2016 11:30,10/20/2016 11:30,10/20/2016 12:00,10/20/2016 12:00,10/20/2016 12:30,10/20/2016 12:30,10/20/2016 13:00,10/20/2016 13:00,10/20/2016 13:30,10/20/2016 13:30,10/20/2016 13:52,,,,,,,,,,,10/20/2016 13:52,1,1,0,0,0,1,0,1,0,4,4,1818,Tbilisi,Kutaisi,10/20/2016 10:30,10/20/2016 13:52,TBS-Kutaisi / Kutaisi--TBS,213,From Tbilisi
133,1st wave - Anonimous,1st wave - Control,133,1,Keep,Same direction or one trip only,Gori-Tbilisi,Gori,45,100,42,3,0,0,0,0,0,1,0,0,1,9/20/2016 14:33,9/20/2016 15:03,9/20/2016 15:03,9/20/2016 15:18,,,,,,,,,,,,,,,,,,,,,9/20/2016 15:18,0,-1,0,0,0,1,0,1,0,4,4,1833,Gori,Tbilisi,9/20/2016 14:33,9/20/2016 15:18,TBS-Gori / Gori--TBS,70,To Tbilisi
